ticker,mercado,cierre,sma200,dist_%,ret5d_%,ret10d_%,pend_sma200_%,fecha_vela,fecha_barrido,universo,sin_datos
WRB,sp500,69.18,68.92,0.38,-1.83,-4.09,-0.26,2026-08-20,2026-08-20,2723,53
FLG,russell2000,13.49,13.41,0.62,-5.47,-4.73,1.79,2026-08-20,2026-08-20,2723,53
CMI,sp500,593.24,589.01,0.72,-6.07,-7.88,3.86,2026-08-20,2026-08-20,2723,53
TCBI,russell2000,98.04,97.16,0.9,-2.77,-1.46,1.71,2026-08-20,2026-08-20,2723,53
BRK-B,sp500,496.86,492.02,0.98,-1.99,-5.29,0.39,2026-08-20,2026-08-20,2723,53
GBCI,russell2000,47.25,46.68,1.22,-5.06,-2.58,0.96,2026-08-20,2026-08-20,2723,53
BANF,russell2000,112.74,111.04,1.53,-2.54,-0.52,-0.3,2026-08-20,2026-08-20,2723,53
IAG.L,ftse100,418.7,412.26,1.56,-5.38,-6.12,0.71,2026-08-20,2026-08-20,2723,53
HIG,sp500,137.12,134.87,1.67,-0.5,-5.11,1.1,2026-08-20,2026-08-20,2723,53
MTX,russell2000,70.46,69.23,1.77,-3.0,-6.3,2.04,2026-08-20,2026-08-20,2723,53
CINF,sp500,168.19,165.09,1.88,-2.59,-6.06,1.25,2026-08-20,2026-08-20,2723,53
HAPN,russell2000,17.97,17.63,1.95,-8.55,-8.83,1.76,2026-08-20,2026-08-20,2723,53
HBAN,sp500,17.01,16.68,1.96,-4.28,-2.02,1.16,2026-08-20,2026-08-20,2723,53
MAA,sp500,132.06,129.51,1.97,-1.59,-1.17,0.34,2026-08-20,2026-08-20,2723,53
