ticker,mercado,cierre,sma200,dist_%,ret5d_%,ret10d_%,pend_sma200_%,fecha_vela,fecha_barrido,universo,sin_datos
UE,russell2000,20.98,20.87,0.55,-1.92,-2.1,1.28,2026-09-04,2026-09-08,2717,47
UHT,russell2000,40.83,40.49,0.83,-1.52,-0.99,1.32,2026-09-04,2026-09-08,2717,47
PLD,sp500,137.34,136.11,0.9,-2.39,-3.15,1.38,2026-09-04,2026-09-08,2717,47
NJR,russell2000,53.4,52.84,1.07,-0.37,-0.22,1.93,2026-09-04,2026-09-08,2717,47
O,sp500,61.25,60.54,1.17,-0.74,-1.73,1.12,2026-09-04,2026-09-08,2717,47
JJSF,russell2000,84.11,82.67,1.74,-5.77,-3.97,0.55,2026-09-04,2026-09-08,2717,47
SYY,sp500,80.05,78.65,1.78,-2.31,-4.82,1.14,2026-09-04,2026-09-08,2717,47
PECO,russell2000,38.96,38.25,1.87,-0.28,-0.79,1.61,2026-09-04,2026-09-08,2717,47
AENA.MC,ibex35,25.48,24.99,1.94,-3.56,-6.46,1.77,2026-09-07,2026-09-08,2717,47
MTD,sp500,1345.26,1319.47,1.95,-3.81,-3.58,-0.11,2026-09-04,2026-09-08,2717,47
